Epoch,Train Loss,Val Loss,Epoch Time
1,0.0025972322890370912,0.0025547894968467794,1078.7219285964966
2,0.0025756471649052114,0.0025878009385478713,1078.2977845668793
3,0.0025678472333098153,0.0025555490622840202,1078.38401055336
4,0.0025584106910559066,0.002554834434483906,1078.6090342998505
5,0.0025556000722784075,0.0025584873662658288,1078.525362253189
6,0.0025474610187934616,0.0025431584105139004,1078.3829429149628
7,0.0025415430577978536,0.0025512586867218047,1078.2825620174408
8,0.0025426222265351813,0.0025422574749840846,1078.3243293762207
9,0.002533216070483411,0.0025789978096850755,1078.4355833530426
10,0.002530112367399246,0.0025511301106290016,1078.4607150554657
11,0.002526344376118513,0.002551305379628585,1078.5485887527466
12,0.002521925311921469,0.0025445236279858473,1078.4696083068848
13,0.0025165590813964072,0.0025545198489756635,1078.2695801258087
14,0.002518470799266419,0.0025622858992199217,1078.3106138706207
15,0.002507514223733165,0.0025451917838037125,1078.1203792095184
16,0.0025070279345636697,0.002559886121492706,1078.3012647628784
17,0.0025005258443640925,0.0025410127021710982,1078.2161328792572
18,0.0025036255318521806,0.002556318413884252,1078.2555911540985
19,0.0024974301626111517,0.002547106343351488,1078.1055116653442
20,0.0024933425912684027,0.0025453516734132513,1078.2464456558228
21,0.00249158114089837,0.002546169009072015,1078.1169018745422
22,0.002485594287219873,0.0025436800556648946,1078.1209192276
23,0.002486284397923841,0.002543064310333593,1078.3756284713745
24,0.002480458170060602,0.002561011805620651,1078.0876486301422
25,0.0024828776755051944,0.0025557818406730694,1078.2143626213074
26,0.002476827566102165,0.0025559988763151605,1078.0657560825348
27,0.0024733743985906596,0.002550923633062859,1078.0897841453552
28,0.0024750752821708927,0.0025872892305911096,1078.1392452716827
29,0.002467105789743418,0.002566226746156727,1078.112511396408
30,0.002463991017061009,0.002568255375742658,1078.1590745449066
31,0.0024622882114446543,0.002564506224712893,1077.7813062667847
32,0.0024575489989706358,0.0025430008500927324,1077.656367778778
